      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/01/04	0931	9.64	9.64	9.61	9.63	2175400	20936792.00
2021/01/04	0932	9.63	9.63	9.60	9.60	866600	8332111.00
2021/01/04	0933	9.61	9.61	9.59	9.60	851000	8170626.00
2021/01/04	0934	9.60	9.60	9.58	9.58	887400	8506717.00
2021/01/04	0935	9.57	9.59	9.57	9.58	436200	4179072.25
2021/01/04	0936	9.58	9.58	9.55	9.56	1096000	10485441.00
2021/01/04	0937	9.56	9.59	9.56	9.58	846600	8105641.00
2021/01/04	0938	9.60	9.60	9.58	9.58	400700	3842163.00
2021/01/04	0939	9.57	9.58	9.57	9.57	533300	5107137.50
2021/01/04	0940	9.57	9.59	9.56	9.58	334300	3201183.00
2021/01/04	0941	9.58	9.59	9.57	9.58	325400	3117516.25
2021/01/04	0942	9.58	9.61	9.58	9.60	323700	3105641.00
2021/01/04	0943	9.60	9.60	9.59	9.59	305600	2933078.00
2021/01/04	0944	9.59	9.61	9.59	9.60	359700	3451959.00
2021/01/04	0945	9.60	9.61	9.59	9.60	223000	2140968.00
2021/01/04	0946	9.60	9.64	9.59	9.63	679400	6535067.00
2021/01/04	0947	9.63	9.64	9.61	9.62	416500	4013716.00
2021/01/04	0948	9.61	9.65	9.60	9.65	456200	4393106.00
2021/01/04	0949	9.64	9.65	9.59	9.59	669600	6434046.00
2021/01/04	0950	9.60	9.62	9.59	9.60	129100	1240091.00
2021/01/04	0951	9.61	9.61	9.59	9.60	215300	2067096.13
2021/01/04	0952	9.60	9.61	9.60	9.61	83600	802704.00
2021/01/04	0953	9.60	9.60	9.59	9.60	324300	3111731.00
2021/01/04	0954	9.60	9.61	9.59	9.61	384600	3695308.00
2021/01/04	0955	9.61	9.61	9.58	9.58	459000	4400764.00
2021/01/04	0956	9.58	9.60	9.58	9.59	247600	2374481.00
2021/01/04	0957	9.59	9.60	9.58	9.59	184900	1774041.00
2021/01/04	0958	9.60	9.61	9.59	9.60	461600	4431850.00
2021/01/04	0959	9.59	9.60	9.58	9.60	124700	1196107.00
2021/01/04	1000	9.60	9.61	9.58	9.61	140300	1346374.00
2021/01/04	1001	9.62	9.62	9.60	9.61	181100	1740757.13
2021/01/04	1002	9.59	9.60	9.58	9.58	86700	830958.00
2021/01/04	1003	9.60	9.60	9.59	9.59	124500	1194978.00
2021/01/04	1004	9.60	9.60	9.58	9.59	246400	2363260.00
2021/01/04	1005	9.59	9.61	9.59	9.60	198700	1907538.00
2021/01/04	1006	9.59	9.60	9.59	9.59	202700	1944875.00
2021/01/04	1007	9.60	9.60	9.59	9.59	274700	2635913.00
2021/01/04	1008	9.59	9.60	9.59	9.60	237300	2276541.00
2021/01/04	1009	9.60	9.60	9.59	9.60	102100	979768.00
2021/01/04	1010	9.60	9.60	9.59	9.60	294100	2822975.00
2021/01/04	1011	9.60	9.60	9.59	9.60	195100	1872904.00
2021/01/04	1012	9.60	9.60	9.59	9.60	229600	2203803.00
2021/01/04	1013	9.59	9.60	9.59	9.59	132100	1267268.00
2021/01/04	1014	9.59	9.60	9.58	9.58	247200	2370721.00
2021/01/04	1015	9.58	9.59	9.57	9.59	554800	5317207.00
2021/01/04	1016	9.58	9.59	9.57	9.58	107600	1031041.06
2021/01/04	1017	9.58	9.58	9.57	9.57	123100	1178472.00
2021/01/04	1018	9.58	9.59	9.57	9.58	361400	3462085.25
2021/01/04	1019	9.58	9.59	9.58	9.58	133900	1282897.00
2021/01/04	1020	9.59	9.59	9.57	9.58	141600	1356692.00
2021/01/04	1021	9.57	9.59	9.56	9.57	666200	6375803.50
2021/01/04	1022	9.58	9.58	9.57	9.57	172600	1653175.00
2021/01/04	1023	9.57	9.58	9.57	9.58	165400	1583586.13
2021/01/04	1024	9.57	9.58	9.57	9.58	112000	1072557.13
2021/01/04	1025	9.58	9.59	9.57	9.57	279700	2679994.25
2021/01/04	1026	9.57	9.61	9.57	9.59	222100	2131021.25
2021/01/04	1027	9.59	9.60	9.58	9.58	240100	2301287.00
2021/01/04	1028	9.58	9.59	9.57	9.58	334900	3209589.25
2021/01/04	1029	9.58	9.59	9.57	9.58	149400	1431805.00
2021/01/04	1030	9.57	9.59	9.57	9.58	348100	3334524.25
2021/01/04	1031	9.58	9.59	9.57	9.59	128900	1234521.13
2021/01/04	1032	9.58	9.60	9.58	9.58	98400	943254.06
2021/01/04	1033	9.58	9.59	9.57	9.57	186800	1788249.13
2021/01/04	1034	9.57	9.59	9.57	9.57	329800	3156763.25
2021/01/04	1035	9.58	9.59	9.57	9.57	94800	908069.06
